0.1561,0.10261,0.17272
0.15696,0.10357,0.17443
0.15782,0.10453,0.17614
0.15868,0.10549,0.17785
0.15954,0.10645,0.17956
0.16039,0.10741,0.18126
0.16125,0.10837,0.18297
0.1621,0.10932,0.18469
0.16295,0.11027,0.18642
0.1638,0.11122,0.18814
0.16465,0.11218,0.18986
0.1655,0.11313,0.19159
0.16635,0.11408,0.19331
0.16719,0.11502,0.19504
0.16803,0.11597,0.19679
0.16887,0.11691,0.19853
0.1697,0.11785,0.20027
0.17054,0.11879,0.20201
0.17138,0.11974,0.20375
0.17222,0.12068,0.2055
0.17304,0.12161,0.20726
0.17387,0.12255,0.20902
0.1747,0.12348,0.21078
0.17552,0.12442,0.21254
0.17635,0.12535,0.2143
0.17718,0.12629,0.21606
0.17799,0.12722,0.21784
0.17881,0.12814,0.21962
0.17963,0.12907,0.2214
0.18044,0.13,0.22318
0.18126,0.13093,0.22496
0.18207,0.13186,0.22674
0.18288,0.13278,0.22853
0.18368,0.13371,0.23033
0.18448,0.13463,0.23214
0.18529,0.13555,0.23394
0.18609,0.13647,0.23574
0.18689,0.13739,0.23754
0.18769,0.13832,0.23935
0.18848,0.13923,0.24117
0.18927,0.14015,0.243
0.19006,0.14107,0.24482
0.19085,0.14198,0.24664
0.19164,0.1429,0.24847
0.19243,0.14382,0.25029
0.1932,0.14473,0.25214
0.19398,0.14565,0.25399
0.19475,0.14656,0.25583
0.19553,0.14747,0.25768
0.1963,0.14838,0.25953
0.19708,0.1493,0.26137
0.19784,0.15021,0.26324
0.1986,0.15112,0.26511
0.19936,0.15203,0.26698
0.20012,0.15294,0.26885
0.20088,0.15385,0.27072
0.20165,0.15475,0.27259
0.2024,0.15566,0.27447
0.20314,0.15657,0.27636
0.20389,0.15748,0.27825
0.20463,0.15838,0.28015
0.20537,0.15929,0.28204
0.20612,0.1602,0.28393
0.20686,0.1611,0.28583
0.20759,0.16201,0.28775
0.20831,0.16291,0.28967
0.20904,0.16382,0.29158
0.20977,0.16472,0.2935
0.21049,0.16563,0.29541
0.21122,0.16653,0.29733
0.21193,0.16744,0.29927
0.21264,0.16834,0.30121
0.21335,0.16924,0.30315
0.21406,0.17015,0.30509
0.21476,0.17105,0.30703
0.21547,0.17195,0.30897
0.21617,0.17286,0.31093
0.21686,0.17376,0.31289
0.21755,0.17466,0.31485
0.21823,0.17557,0.31682
0.21892,0.17647,0.31878
0.21961,0.17738,0.32074
0.22029,0.17828,0.32272
0.22096,0.17918,0.32471
0.22162,0.18009,0.3267
0.22229,0.18099,0.32869
0.22295,0.1819,0.33068
0.22362,0.1828,0.33267
0.22428,0.1837,0.33466
0.22493,0.18461,0.33667
0.22557,0.18552,0.33868
0.22621,0.18642,0.34069
0.22685,0.18733,0.3427
0.2275,0.18824,0.34471
0.22814,0.18914,0.34672
0.22876,0.19005,0.34875
0.22938,0.19096,0.35078
0.23,0.19187,0.35281
0.23061,0.19278,0.35484
0.23123,0.19369,0.35687
0.23185,0.1946,0.3589
0.23245,0.19551,0.36094
0.23304,0.19643,0.363
0.23362,0.19734,0.36505
0.23421,0.19826,0.3671
0.2348,0.19917,0.36916
0.23539,0.20008,0.37121
0.23596,0.201,0.37327
0.23652,0.20192,0.37534
0.23708,0.20284,0.37741
0.23764,0.20376,0.37948
0.23819,0.20468,0.38155
0.23875,0.2056,0.38361
0.23931,0.20653,0.38568
0.23983,0.20746,0.38777
0.24035,0.20838,0.38986
0.24087,0.20931,0.39194
0.24139,0.21024,0.39403
0.24191,0.21117,0.39612
0.24244,0.2121,0.3982
0.24293,0.21304,0.4003
0.24341,0.21398,0.40239
0.24389,0.21492,0.40449
0.24438,0.21586,0.40658
0.24486,0.2168,0.40867
0.24534,0.21774,0.41077
0.24581,0.21869,0.41287
0.24624,0.21964,0.41497
0.24668,0.22059,0.41708
0.24712,0.22155,0.41918
0.24756,0.2225,0.42129
0.248,0.22345,0.42339
0.24842,0.22441,0.4255
0.24881,0.22538,0.4276
0.2492,0.22635,0.42971
0.24959,0.22732,0.43181
0.24998,0.22829,0.43391
0.25037,0.22926,0.43602
0.25076,0.23023,0.43812
0.25109,0.23122,0.44022
0.25143,0.23221,0.44231
0.25176,0.2332,0.4444
0.25209,0.2342,0.4465
0.25243,0.23519,0.44859
0.25276,0.23618,0.45069
0.25305,0.23719,0.45277
0.25332,0.2382,0.45484
0.25359,0.23922,0.45692
0.25387,0.24023,0.45899
0.25414,0.24125,0.46106
0.25441,0.24227,0.46314
0.25465,0.2433,0.46519
0.25485,0.24434,0.46723
0.25505,0.24539,0.46927
0.25526,0.24643,0.47131
0.25546,0.24748,0.47334
0.25566,0.24853,0.47538
0.25585,0.24958,0.47741
0.25597,0.25066,0.47939
0.2561,0.25174,0.48138
0.25622,0.25282,0.48336
0.25635,0.25391,0.48534
0.25647,0.25499,0.48732
0.2566,0.25607,0.48931
0.25665,0.25719,0.49122
0.25669,0.25831,0.49312
0.25673,0.25944,0.49503
0.25677,0.26056,0.49693
0.25681,0.26168,0.49884
0.25686,0.26281,0.50074
0.25685,0.26396,0.50258
0.25681,0.26512,0.50438
0.25676,0.26629,0.50617
0.25672,0.26746,0.50797
0.25668,0.26863,0.50977
0.25663,0.2698,0.51156
0.25657,0.27098,0.51332
0.25644,0.2722,0.51498
0.25632,0.27342,0.51664
0.25619,0.27463,0.5183
0.25607,0.27585,0.51996
0.25594,0.27706,0.52162
0.25582,0.27828,0.52328
0.25562,0.27955,0.52478
0.25543,0.28081,0.52628
0.25523,0.28207,0.52778
0.25504,0.28333,0.52928
